Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,Santa Clara,State,49009443.0,49009443.0,0.0,-5.47
2009,Orange,Investor,849508542.0,850650219.0,-1141677.0,-1.81
2009,Alameda,City/County,964208920.0,947190166.0,17018754.0,2.21
2009,Alameda,District,289291524.0,288561217.0,730307.0,-8.78
2009,Los Angeles,Investor,246533487.0,244131607.0,2401880.0,3.68
2009,Alameda,Non-Profit,2129096451.0,2062104873.0,66991578.0,9.86
2009,Alameda,Non-Profit,2008262347.0,1971790295.0,36472052.0,6.74
2009,San Diego,Investor,766243549.0,766769862.0,-526313.0,-0.35
2009,San Diego,Investor,50355711.0,49329534.0,1026177.0,5.17
2009,Los Angeles,Non-Profit,5924659.0,5893252.0,31407.0,0.53
2009,Orange,Investor,137978553.0,148258314.0,-10279761.0,-33.68
2009,Los Angeles,District,957113074.0,952589466.0,4523608.0,0.7
2009,San Bernardino,City/County,1262741062.0,1237337185.0,25403877.0,1.07
2009,San Luis Obispo,Non-Profit,241818126.0,242947500.0,-1129374.0,-2.28
2009,San Luis Obispo,State,263665371.0,263665371.0,0.0,-2.84
2009,Los Angeles,Investor,38427051.0,35897931.0,2529120.0,4.03
2009,Los Angeles,Investor,38299967.0,39080392.0,-780425.0,-13.58
2009,San Diego,Investor,30605947.0,26575169.0,4030778.0,19.6
2009,Ventura,Investor,27522713.0,25478036.0,2044677.0,11.71
2009,Kern,Investor,279086345.0,267862712.0,11223633.0,16.37
2009,Kern,Non-Profit,1057352547.0,1035251972.0,22100575.0,9.43
2009,San Bernardino,Investor,21225456.0,20068890.0,1156566.0,6.83
2009,Lassen,Non-Profit,86137902.0,77211892.0,8926010.0,23.15
2009,Los Angeles,Non-Profit,176778023.0,175612167.0,1165856.0,2.27
2009,San Bernardino,Investor,237083574.0,231208479.0,5875095.0,14.01
2009,El Dorado,Non-Profit,241064034.0,235232341.0,5831693.0,11.54
2009,San Bernardino,District,30081566.0,28534527.0,1547039.0,-7.79
2009,Los Angeles,Investor,200214289.0,201789947.0,-1575658.0,-3.95
2009,Riverside,Non-Profit,30258345.0,38787298.0,-8528953.0,-16.22
2009,Los Angeles,Non-Profit,289949592.0,289174451.0,775141.0,0.0
2009,Los Angeles,Investor,39444447.0,31913813.0,7530634.0,32.6
2009,Butte,Non-Profit,36399721.0,36672649.0,-272928.0,-1.76
2009,Los Angeles,Investor,550063193.0,547888993.0,2174200.0,2.3
2009,Butte,City/County,4354171.0,4354171.0,0.0,0.0
2009,Los Angeles,Non-Profit,854200884.0,822315258.0,31885626.0,11.88
2009,San Francisco,Non-Profit,3338296077.0,3150337712.0,187958365.0,15.44
2009,San Francisco,Non-Profit,505759350.0,531358917.0,-25599567.0,-24.62
2009,San Bernardino,Investor,30173141.0,25374177.0,4798964.0,25.28
2009,Los Angeles,Non-Profit,53716826.0,52753317.0,963509.0,-4.4
2009,Los Angeles,Non-Profit,8699528.0,7789144.0,910384.0,-5.08
2009,Los Angeles,Non-Profit,7444969796.0,7281571190.0,163398606.0,7.76
2009,Los Angeles,Investor,1459069069.0,1453500182.0,5568887.0,7.28
2009,Kings,Non-Profit,242824424.0,234738020.0,8086404.0,6.94
2009,Orange,Investor,181001964.0,184700916.0,-3698952.0,-8.8
2009,Alameda,Non-Profit,1023314939.0,1040248609.0,-16933670.0,-5.06
2009,Orange,Non-Profit,137929912.0,137403479.0,526433.0,0.99
2009,Madera,Non-Profit,876000177.0,866416855.0,9583322.0,5.7
2009,Los Angeles,Non-Profit,1201484126.0,1298875122.0,-97390996.0,-9.58
2009,Orange,Non-Profit,1178269136.0,1170253288.0,8015848.0,2.05
2009,Santa Clara,Investor,12237136.0,12282250.0,-45114.0,-0.68
2009,San Francisco,Non-Profit,229993005.0,220723855.0,9269150.0,9.42
2009,San Bernardino,Investor,282964132.0,272371341.0,10592791.0,16.15
2009,Los Angeles,Non-Profit,1093845889.0,1091405815.0,2440074.0,0.04
2009,Los Angeles,Non-Profit,1500258256.0,1470896650.0,29361606.0,-1.88
2009,Fresno,Non-Profit,445132027.0,421179935.0,23952092.0,15.81
2009,Fresno,District,47742664.0,46293520.0,1449144.0,-2.55
2009,Fresno,State,298665518.0,298665518.0,0.0,0.0
2009,Los Angeles,Investor,149044964.0,153609776.0,-4564812.0,-12.0
2009,Orange,Investor,297618338.0,295553433.0,2064905.0,3.26
2009,Los Angeles,Investor,110252397.0,106392899.0,3859498.0,8.17
2009,Orange,Investor,92225479.0,94517395.0,-2291916.0,-6.74
2009,San Bernardino,City/County,22644982.0,22404751.0,240231.0,2.55
2009,Colusa,Non-Profit,58488085.0,59002874.0,-514789.0,-3.43
2009,Los Angeles,Investor,216056413.0,214066066.0,1990347.0,5.62
2009,Los Angeles,Non-Profit,314314045.0,315661803.0,-1347758.0,-3.31
2009,Santa Clara,Investor,77888496.0,95921019.0,-18032523.0,-110.52
2009,San Bernardino,Non-Profit,687658067.0,694587996.0,-6929929.0,-5.25
2009,Monterey,Non-Profit,1032626037.0,980478299.0,52147738.0,10.5
2009,Ventura,Non-Profit,1286196584.0,1270672435.0,15524149.0,2.86
2009,Fresno,Non-Profit,2281887817.0,2246084755.0,35803062.0,4.16
2009,Contra Costa,City/County,625066944.0,625796602.0,-729658.0,-39.3
2009,Kings,District,17786579.0,17432703.0,353876.0,0.24
2009,Riverside,Investor,493468428.0,502512685.0,-9044257.0,-7.6
2009,Kern,Investor,2860251.0,2472959.0,387292.0,21.57
2009,San Joaquin,Non-Profit,927896869.0,924205436.0,13141227.0,7.04
2009,Los Angeles,Investor,64189580.0,57356515.0,6833065.0,24.25
