Year,Facility Number,Facility Name,Begin Date,End Date,County Name,Type of Control,Income Statement Item,Income Statement Amount,Amount per Adjusted Patient Day
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,GR_PT_REV,875701849,8349
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,DED_REV_PLUS_DSH,662832331,6320
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,TOT_CAP_REV,0,0
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,NET_REV_LESS_DSH,212869518,2030
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,OTH_OP_REV,3391201,32
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,TOT_OP_EXP,211504243,2017
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,NET_OP_LESS_DSH,4756476,45
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,NONOP_REV,2464355,23
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,NONOP_EXP,1504800,14
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,INC_TAX,0,0
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,EXT_ITEM,0,0
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,NET_INC_LESS_DSH,5716031,54
2012,106164029,ADVENTIST MEDICAL CENTER - HANFORD,1/1/2012,12/31/2012,Kings,Non-Profit,OPERATING_MARGIN,2.2,
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,GR_PT_REV,1382664200,17346
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,DED_REV_PLUS_DSH,1185612612,14874
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,TOT_CAP_REV,2396531,30
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,NET_REV_LESS_DSH,199448119,2502
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,OTH_OP_REV,953690,12
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,TOT_OP_EXP,202987054,2546
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,NET_OP_LESS_DSH,-2585245,-32
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,NONOP_REV,1240669,16
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,NONOP_EXP,14651,0
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,INC_TAX,0,0
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,EXT_ITEM,0,0
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,NET_INC_LESS_DSH,-1359227,-17
2012,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2011,6/30/2012,Orange,Investor,OPERATING_MARGIN,-1.29,
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,GR_PT_REV,1050442437,6123
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,DED_REV_PLUS_DSH,591360407,3447
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,TOT_CAP_REV,0,0
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,NET_REV_LESS_DSH,459082030,2676
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,OTH_OP_REV,44766021,261
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,TOT_OP_EXP,514999369,3002
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,NET_OP_LESS_DSH,-11151318,-65
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,NONOP_REV,88644644,517
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,NONOP_EXP,91004,1
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,INC_TAX,0,0
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,EXT_ITEM,0,0
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,NET_INC_LESS_DSH,77402322,451
2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2011,6/30/2012,Alameda,City/County,OPERATING_MARGIN,-2.21,
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,GR_PT_REV,257702145,5642
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,DED_REV_PLUS_DSH,198702605,4350
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,TOT_CAP_REV,0,0
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,NET_REV_LESS_DSH,58999540,1292
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,OTH_OP_REV,403927,9
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,TOT_OP_EXP,67329462,1474
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,NET_OP_LESS_DSH,-7925995,-174
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,NONOP_REV,6433042,141
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,NONOP_EXP,0,0
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,INC_TAX,0,0
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,EXT_ITEM,0,0
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,NET_INC_LESS_DSH,-1492953,-33
2012,106010735,ALAMEDA HOSPITAL,7/1/2011,6/30/2012,Alameda,District,OPERATING_MARGIN,-13.34,
2012,106190017,ALHAMBRA HOSPITAL,7/1/2011,6/30/2012,Los Angeles,Investor,GR_PT_REV,434413972,10370
2012,106190017,ALHAMBRA HOSPITAL,7/1/2011,6/30/2012,Los Angeles,Investor,DED_REV_PLUS_DSH,367608044,8775
2012,106190017,ALHAMBRA HOSPITAL,7/1/2011,6/30/2012,Los Angeles,Investor,TOT_CAP_REV,20031291,478
2012,106190017,ALHAMBRA HOSPITAL,7/1/2011,6/30/2012,Los Angeles,Investor,NET_REV_LESS_DSH,86837219,2073
2012,106190017,ALHAMBRA HOSPITAL,7/1/2011,6/30/2012,Los Angeles,Investor,OTH_OP_REV,2484071,59
2012,106190017,ALHAMBRA HOSPITAL,7/1/2011,6/30/2012,Los Angeles,Investor,TOT_OP_EXP,88859197,2121
